Id หลัก,Facter ID,ประเภทการคิด,กลุ่มหัวข้อ,โค้ดการประเมิน,ชื่อ KPI,น้ำหนัก,Target,คะแนน 1,คะแนน 2,คะแนน 3,คะแนน 4,คะแนน 5
,2,2,3,PUTD-202003-003,Customer Satisfaction Index,10,85,70,71-74,75-79,80-84,85
,2,1,3,PUTD-202003-003,ข้อร้องเรียนพฤติกรรมการบริการเจ้าหน้าที่,10,0,4,3,2,1,0
,2,1,4,PUTD-202003-003,จำนวนอุบัติการณ์ระดับ E ขึ้นไป (ยกเว้นข้อที่ตั้งไว้),7,0,2,,1,,0
,2,2,4,PUTD-202003-003,Medication Error : Admin Error ,8,0.1,0.5,0.4,0.3,0.2,0.1
,2,1,4,PUTD-202003-003,จำนวนครั้งการเกิดเหตุการณ์ Unplan ICU  ,8,0,2,,1,,0
,2,1,4,PUTD-202003-003,อุบัติการณ์พลัดตก หกล้ม,7,0,2,,1,,0
,2,3,5,PUTD-202003-003,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,49,50-59,60-69,70-79,80
,2,3,1,PUTD-202003-004,%Magin,25,10,3,4-5,6-7,8-9,10
,2,1,3,PUTD-202003-004,ข้อร้องเรียนเกี่ยวกับสิ่งแปลกปลอมในอาหาร,15,0,2,,1,,0
,2,2,3,PUTD-202003-004,Customer Satifaction (ห้องอาหาร) ,15,85,70,71-74,75-79,80-84,85
,2,1,4,PUTD-202003-004,ส่งอาหารผิด (รับคำสั่งผิด เมนูผิด ผิดคน ผิดประเภทอาหาร),20,0,4,3,2,1,0
,2,1,4,PUTD-202003-004,จำนวนครั้งของการเกิดเงินขาด/เกิน,15,5,9,8,7,6,5
,2,3,5,PUTD-202003-004,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,49,50-59,60-69,70-79,80
,2,1,3,PUTD-202003-005,ข้อร้องเรียนพฤติกรรมการบริการเจ้าหน้าที่,45,0,4,3,2,1,0
,2,1,4,PUTD-202003-005,จำนวนครั้งของการตรวจสอบความครบถ้วนของเอกสารตามสิทธิเบิกผิด,15,5,9,8,7,6,5
,2,1,4,PUTD-202003-005,จำนวนครั้งที่มีการส่งรายได้ประจำวันและเอกสาร ไม่ครบถ้วน ไม่ถูกต้อง,15,5,9,8,7,6,5
,2,2,4,PUTD-202003-005,%Success Deposit (50% ของค่าใช้จ่ายทั้งหมด),15,80,49,50-59,60-69,70-79,80
,2,3,5,PUTD-202003-005,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,0,49,50-59,60-69,70-79,80
,2,3,1,PUTD-202003-006,Revenue,20,10.9,7.4,7.5-7.9,8-8.4,8.5-8.9,9
,2,3,1,PUTD-202003-006,%ROS,10,55,39,40-44,45-49,50-54,55
,2,2,3,PUTD-202003-006,Job per day,15,21,14,15-16,17-18,19-20,21
,2,2,3,PUTD-202003-006,Customer Satisfaction Index,15,85,70,71-74,75-79,80-84,85
,2,2,4,PUTD-202003-006,อัตราการคัดแยกผู้ป่วยถูกต้อง,4,90,59,60-69,70-79,80-89,90
,2,2,4,PUTD-202003-006,อัตราการคัดแยกผู้ป่วยและดูแลได้ทันเวลาที่กำหนด,4,100,69,70-79,80-89,90-99,100
,2,2,4,PUTD-202003-006,อัตราการปฏิบัติตาม Code ฉุกเฉินตามเป้าหมาย ,3,100,69,70-79,80-89,90-99,100
,2,2,4,PUTD-202003-006,การออก EMS ตามระยะเวลาที่กำหนด ภายใน 5 นาที,4,100,69,70-79,80-89,90-99,100
,2,1,4,PUTD-202003-006,จำนวนครั้งของอุปกรณ์ที่ไม่พร้อมใช้งาน (Ems&Ambulance),4,0,2,,1,,0
,2,1,4,PUTD-202003-006,จำนวนครั้งของการIdentifyผู้ป่วยผิดคน,4,0,2,,1,,0
,2,2,4,PUTD-202003-006,Medication Error : Admin Error ,4,0.1,0.5,0.4,0.3,0.2,0.1
,2,1,4,PUTD-202003-006,จำนวนอุบัติการณ์ระดับ E ขึ้นไป (ยกเว้นข้อที่ตั้งไว้),3,0,2,,1,,0
,2,3,5,PUTD-202003-006,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,49,50-59,60-69,70-79,80
,2,2,3,PUTD-202003-007,Customer Satisfaction Index,20,85,70,71-74,75-79,80-84,85
,2,1,3,PUTD-202003-007,ข้อร้องเรียนพฤติกรรมการบริการเจ้าหน้าที่,20,0,4,3,2,1,0
,2,1,4,PUTD-202003-007,จำนวนการลงทะเบียนผิด,10,6,10,9,8,7,6
,2,1,4,PUTD-202003-007,จำนวนการแจ้งสิทธิของผู้รับบริการผิด ,10,6,10,9,8,7,6
,2,2,4,PUTD-202003-007,การลงทะเบียนรับ Admit ผู้ป่วยถูกต้อง,10,100,69,70-79,80-89,90-99,100
,2,2,4,PUTD-202003-007,แจ้งเอกสารครบถ้วนตามสิทธิการรักษา,10,95,79,80-84,85-89,90-94,95
,2,1,4,PUTD-202003-007,ข้อร้องเรียนของการให้ข้อมูลที่ผิดพลาด ,10,1,2,,1,,0
,2,3,5,PUTD-202003-007,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,49,50-59,60-69,70-79,80
,2,1,3,PUTD-202003-008,"จำนวนข้อร้องเรียนพฤติกรรมบริการแม่บ้าน,รปภ.",10,4,8,7,6,5,4
,2,2,3,PUTD-202003-008,ความพึงพอใจ  ; แม่บ้าน,10,90,59,60-69,70-79,80-89,90
,2,2,3,PUTD-202003-008,ความพึงพอใจ  ; รปภ,10,90,59,60-69,70-79,80-89,90
,2,1,4,PUTD-202003-008,จำนวนครั้งของทรัพย์สิน รพ. สูญหาย(เฉพาะที่ รปภ.รับผิดชอบ),20,0,2,,1,,0
,2,1,4,PUTD-202003-008,อัตราการสูญหายของผ้า,20,5,9,8,7,6,5
,2,2,4,PUTD-202003-008,% Success of Cleaning Time - Patient Room (30 นาที),20,90,59,60-69,70-79,80-89,90
,2,3,5,PUTD-202003-008,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,49,50-59,60-69,70-79,80
,2,3,1,PUTD-202003-009,Revenue,20,13.5,8.4,8.5-9.4,9.5-10.4,10.5-11.4,11.5
,2,3,1,PUTD-202003-009,%ROS,10,60,39,40-49,50-54,55-59,60
,2,2,3,PUTD-202003-009,Job per day,10,2,1,,,,2
,2,2,3,PUTD-202003-009,Customer Satisfaction Index,10,85,70,71-74,75-79,80-84,85
,2,1,3,PUTD-202003-009,ข้อร้องเรียนพฤติกรรมการบริการเจ้าหน้าที่,10,0,4,3,2,1,0
,2,1,4,PUTD-202003-009,จำนวนครั้งที่อุปกรณ์ทางการแพทย์เลื่อนหลุด,8,0,2,,1,,0
,2,1,4,PUTD-202003-009,Un expected death,7,0,2,,1,,0
,2,1,4,PUTD-202003-009,จำนวนอุบัติการณ์ระดับ E ขึ้นไป (ยกเว้นข้อที่ตั้งไว้),7,0,2,,1,,0
,2,2,4,PUTD-202003-009,Medication Error : Admin Error ,8,0.1,0.5,0.4,0.3,0.2,0.1
,2,3,5,PUTD-202003-009,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,49,50-59,60-69,70-79,80
,2,3,1,PUTD-202003-010,Revenue to Total Revenue,10,10,3,4-5,6-7,8-9,10
,2,3,1,PUTD-202003-010,% Margin,20,70,44,45-49,50-54,55-59,60
,2,2,3,PUTD-202003-010,Customer Satisfaction Index,30,85,70,71-74,75-79,80-84,85
,2,2,4,PUTD-202003-010,การออกผลค่าวิกฤติภายในระยะเวลาที่กำหนด,5,100,69,70-79,80-89,90-99,100
,2,2,4,PUTD-202003-010,อัตราการตรวจเช็คอุปกรณ์ Daily Check,10,100,69,70-79,80-89,90-99,100
,2,1,4,PUTD-202003-010,จำนวนครั้งของการผิดพลาดในกระบวนการก่อนการทดสอบ,10,2,6,5,4,3,2
,2,1,4,PUTD-202003-010,จำนวนอุบัติการณ์ระดับ E ขึ้นไป (ยกเว้นข้อที่ตั้งไว้),5,0,2,,1,,0
,2,3,5,PUTD-202003-010,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,49,50-59,60-69,70-79,80
,2,2,4,PUTD-202003-011,PM ตามแผน : เครื่องมือแพทย์,15,95,79,80-84,85-89,90-94,95
,2,2,4,PUTD-202003-011,PM ตามแผน : งานระบบ,15,95,79,80-84,85-89,90-94,95
,2,2,4,PUTD-202003-011,CM ตาม SLA,20,95,79,80-84,85-89,90-94,95
,2,1,4,PUTD-202003-011,จำนวนครั้งของการเกิด Breakdown ของอุปกรณ์ขนาดใหญ่ของงานระบบ,20,3,5,4,3,2,1
,2,2,4,PUTD-202003-011,%Success : การควบคุม ทดสอบคุณภาพน้ำ และแผนรองรับฉุกเฉิน ได้ตามรอบ,20,100,69,70-79,80-89,90-99,100
,2,3,5,PUTD-202003-011,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,49,50-59,60-69,70-79,80
,2,3,1,PUTD-202003-012,รายได้จาก รพ./คลินิก to Total Revenue,20,3,1.4,1.5-1.9,2-2.4,2.5-2.9,3
,2,1,396,PUTD-202003-012,งบประมาณทางการตลาดเป็นไปตามเป้าหมาย,0,100,,,,,
,2,2,3,PUTD-202003-012,จำนวนการเปิดสัญญากับคู่สัญญาตามเป้าหมาย (12 บริษัทใหญ่),15,90,59,60-69,70-79,80-89,90
,2,2,3,PUTD-202003-012,จำนวนผู้ป่วยที่กู้ภัยนำส่ง,15,15,5,6-8,9-11,12-14,15
,2,2,4,PUTD-202003-012,อัตราโครงการการตลาดผ่านตามเป้าหมาย,10,80,49,50-59,60-69,70-79,80
,2,1,4,PUTD-202003-012,จำนวนครั้งของการออกเยี่ยมตาม คลินิก/รพ. ได้ตามแผนที่กำหนดไว้,10,6,2,3,4,5,6
,2,1,4,PUTD-202003-012,จำนวนครั้งของการออกเยี่ยมตาม บริษัทคู่สัญญา/โรงเรียน ได้ตามแผนที่กำหนดไว้,10,3,1,,2,,3
,2,2,4,PUTD-202003-012,อัตราการสื่อสารประชาสัมพันธ์ได้ตามแผนที่กำหนดไว้,10,100,69,70-79,80-89,90-99,100
,2,3,5,PUTD-202003-012,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,49,50-59,60-69,70-79,80
,2,3,1,PUTD-202003-013, Revenue,25,11.1,7.9,8-8.4,8.5-8.9,9-9.4,9.5
,2,2,3,PUTD-202003-013,Job per day,15,2,1,,,,2
,2,2,3,PUTD-202003-013,Customer Satisfaction Index,10,85,70,71-74,75-79,80-84,85
,2,1,4,PUTD-202003-013,จำนวนการเกิดแผลติดเชื้อหลังผ่าตัด,4,0,2,,1,,0
,2,1,4,PUTD-202003-013,จำนวนครั้งที่เตรียมเครื่องมือไม่พร้อมใช้ในการผ่าตัด,4,0,4,3,2,1,0
,2,1,4,PUTD-202003-013,จำนวนครั้งที่เกิดการคงค้างของเครื่องมือ ผ้าซับโลหิต และของมีคมในร่างกายผู้ป่วย,4,0,2,,1,,0
,2,1,4,PUTD-202003-013,จำนวนการผ่าตัดผิดคน ผิดข้าง ผิดตำแหน่ง ผิดหัตถการ,4,0,2,,1,,0
,2,1,4,PUTD-202003-013,จำนวนอุบัติการณ์ระดับ E ขึ้นไป (ยกเว้นข้อที่ตั้งไว้),4,0,2,,1,,0
,2,1,4,PUTD-202003-013,การรับส่งทารกผิดคน,4,0,2,,1,,0
,2,1,4,PUTD-202003-013,จำนวนครั้งของภาวะการตกเลือดหลังคลอด ภายใน 2 ชม.,4,0,2,,1,,0
,2,1,4,PUTD-202003-013,เด็กตาบอดจากการส่องไฟ,4,0,2,,1,,0
,2,1,4,PUTD-202003-013,จำนวนครั้งของการเกิด IR ส่ง Specimen ผิดพลาด,4,0,2,,1,,0
,2,2,4,PUTD-202003-013,Medication Error : Admin Error ,4,0.1,0.5,0.4,0.3,0.2,0.1
,2,3,5,PUTD-202003-013,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,49,50-59,60-69,70-79,80
,2,1,1,PUTD-202003-014,มูลค่าสินค้าหมดอายุที่ไม่ได้รับการจัดการ (ห้องยา),10,0,3001,3000-2001,2000-1001,1000-1,0
,2,3,1,PUTD-202003-014,Revenue to Total Revenue,20,30,14,15-19,20-24,25-29,30
,2,2,3,PUTD-202003-014,Customer Satisfaction Index,20,85,70,71-74,75-79,80-84,85
,2,2,4,PUTD-202003-014,Medication  error - dispensing error (OPD),8,0.5,1.26,1.25-1.01,1-0.76,75-60,0.5
,2,2,4,PUTD-202003-014,Medication  error - dispensing error (IPD),8,0.5,1.26,1.25-1.01,1-0.76,75-60,0.5
,2,2,4,PUTD-202003-014,ระยะเวลารอรับยาผู้ป่วยนอก(Med discharge-Allocate Pharmacy) <= 15 นาที,8,90,74,75-79,80-84,85-89,90
,2,1,4,PUTD-202003-014,จำนวนอุบัติการณ์ระดับ E ขึ้นไป (ล่าช้า รอนาน),8,0,4,3,2,1,0
,2,1,4,PUTD-202003-014,จำนวนอุบัติการณ์ระดับ E ขึ้นไป (ยกเว้นข้อที่ตั้ง),8,0,2,,1,,0
,2,3,5,PUTD-202003-014,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,49,50-59,60-69,70-79,80
,2,2,3,PUTD-202003-015,Customer Satisfaction Index,30,85,70,71-74,75-79,80-84,85
,2,2,4,PUTD-202003-015,การตรวจสอบอุปกรณ์ให้พร้อมใช้,15,100,69,70-79,80-89,90-99,100
,2,1,4,PUTD-202003-015,จำนวนครั้งในการเกิดอุบัติการณ์ในการเคลื่อนย้าย,15,0,2,,1,,0
,2,1,4,PUTD-202003-015,จำนวนข้อร้องเรียน IR เรื่องการให้บริการเคลื่อนย้ายล่าช้า,15,0,2,,1,,0
,2,1,4,PUTD-202003-015,ข้อร้องเรียนพฤติกรรมการบริการเจ้าหน้าที่,15,0,4,3,2,1,0
,2,3,5,PUTD-202003-015,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,49,50-59,60-69,70-79,80
,2,3,1,PUTD-202003-016,Revenue to Total Revenue,20,6,2.9,3-3.9,4-4.9,5-5.9,6
,2,3,1,PUTD-202003-016,%Margin,10,99,89,70-79,80-89,90-99,100
,2,2,3,PUTD-202003-016,Customer Satisfaction Index,20,85,70,71-74,75-79,80-84,85
,2,1,4,PUTD-202003-016,จำนวนการตรวจทางรังสีผิดคน ผิดคำสั่งแพทย์,10,0,4,3,2,1,0
,2,1,4,PUTD-202003-016,จำนวนผู้รับบริการหญิงตั้งครรภ์ที่ได้รับการตรวจทางรังสีโดยไม่ได้ซักประวัติเรื่องการตั้งครรภ์ก่อน,10,0,4,3,2,1,0
,2,1,4,PUTD-202003-016,อัตราการถ่ายฟิล์มซ้ำ ,10,2,0.4,0.5-0.9,1-1.4,1.5-1.9,2
,2,1,4,PUTD-202003-016,จำนวนอุบัติการณ์ระดับ E ขึ้นไป (ยกเว้นข้อที่ตั้งไว้),10,0,2,,1,,0
,2,3,5,PUTD-202003-016,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,49,50-59,60-69,70-79,80
,2,3,1,PUTD-202003-017,Revenue,20,1,44,55-65,66-75,76-85,0.86
,2,3,1,PUTD-202003-017,%ROS,10,30,15,16-18,19-21,22-24,25
,2,2,3,PUTD-202003-017,Job per day,10,3,1,,2,,3
,2,2,3,PUTD-202003-017,Customer Satisfaction Index,10,85,70,71-74,75-79,80-84,85
,2,1,3,PUTD-202003-017,ข้อร้องเรียนพฤติกรรมการบริการเจ้าหน้าที่,10,0,4,3,2,1,0
,2,1,4,PUTD-202003-017,จำนวนการเกิดอุบัติการณ์ การพลัดตก หกล้มขณะรับการฟื้นฟูสมรรถภาพและภาวะแทรกซ้อน จากการฟื้นฟูสมรรถภาพ,10,0,2,,1,,0
,2,1,4,PUTD-202003-017,จำนวนการเกิดอุบัติการณ์ การ burn ขณะรับการรักษาฟื้นฟูสมรรถภาพ,5,0,2,,1,,0
,2,1,4,PUTD-202003-017,จำนวนการเคลื่อน เลื่อนหลุดของอุปกรณ์ทางการแพทย์ จากการได้รับการฟื้นฟูสมรรถภาพ,10,0,2,,1,,0
,2,1,4,PUTD-202003-017,จำนวนอุบัติการณ์ระดับ E ขึ้นไป (ยกเว้น 3 ข้อ ที่ตั้งไว้),5,0,2,,1,,0
,2,3,5,PUTD-202003-017,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,49,50-59,60-69,70-79,80
,2,1,1,PUTD-202003-018,"ค่าใช้จ่ายที่เกิดจากข้อผิดพลาดการประสานงาน ของสำนักเลขา 
หมายเหตุ : ข้อผิดพลาด จนทำให้ต้องจ่ายค่าชดเชย ในกระบวนการนั้น เช่น จองโรงแรมผิด จองตั๋วผิด เป็นต้น ",18,0,1.6,1.5-1.1,1-0.6,0.5-0.1,0
,2,2,4,PUTD-202003-018,การบันทึกและจัดทำรายงานการประชุม ภายในระยะเวลาที่กำหนด,8,80,49,50-59,60-69,70-79,80
,2,2,4,PUTD-202003-018,การจัดส่งวาระประชุมและ สรุปประชุม ก่อนการประชุม ให้กับผู้ที่เกี่ยวข้อง,8,80,49,50-59,60-69,70-79,80
,2,1,4,PUTD-202003-018,ตารางออกตรวจของแพทย์ผิด หรือไม่ Update,8,3,5,4,3,2,1
,2,2,4,PUTD-202003-018,ทะเบียนสัญญา และ รายการต่ออายุของโรงพยาบาล รวมถึงการแจ้งเตือนภายในระยะเวลาที่กำหนด,8,100,69,70-79,80-89,90-99,100
,2,2,4,PUTD-202003-018,สื่อสารประชาสัมพันธ์ แพทย์ใหม่,8,90,59,60-69,70-79,80-89,90
,2,2,4,PUTD-202003-018,อัตราการทบทวน Incident Report ของหน่วยงาน,8,80,49,50-59,60-69,70-79,80
,2,1,4,PUTD-202003-018,อัตราการเกิด IR ระดับ 3,8,0,1.6,1.5-1.1,1-0.6,0.5-0.1,0
,2,1,4,PUTD-202003-018,อุบัติการณ์ เอกสารระดับ 1-ระดับ 4 ที่อยู่ในIntranet ไม่ Update (งาน DCC),8,0,4,3,2,1,0
,2,2,4,PUTD-202003-018,"เอกสารระดับ 1-ระดับ 4 ได้รับการสื่อสารผ่านทางเมลล์ และลงข้อมูลใน Intranet 
หลังจากขึ้นทะเบียนครบถ้วนและ เอกสาร ได้รับการลงนามเอกสารทั้งหมด ภายใน 2 วันหลัง (งาน DCC)",8,80,49,50-59,60-69,70-79,80
,2,3,5,PUTD-202003-018,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,49,50-59,60-69,70-79,80
,2,1,3,PUTD-202003-019,ข้อร้องเรียนพฤติกรรมการบริการเจ้าหน้าที่,30,0,4,3,2,1,0
,2,2,4,PUTD-202003-019,อัตราการออก EMS/Refer ภายในระยะเวลาที่กำหนด ,15,100,69,70-79,80-89,90-99,100
,2,1,4,PUTD-202003-019,อัตราการของยานพาหนะที่ไม่พร้อมใช้งาน,15,1,2,1.9-1.7,1.6-1.4,1.3-1.1,1
,2,2,4,PUTD-202003-019,การตรวจเช็คความสะอาดของรถเรื่องการใช้งานหลังการใช้งาน,15,100,69,70-79,80-89,90-99,100
,2,2,4,PUTD-202003-019,อัตราการตรวจสภาพรถตามระยะที่กำหนด,15,100,69,70-79,80-89,90-99,100
,2,3,5,PUTD-202003-019,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,49,50-59,60-69,70-79,80
,2,3,1,PUTD-202003-020,%COPQ to revenue,20,0.1,0.26,0.25-0.21,0.2-0.16,0.15-0.11,0.1
,2,2,3,PUTD-202003-020,Customer Satisfaction Index,30,85,70,71-74,75-79,80-84,85
,2,2,4,PUTD-202003-020,อัตราการทบทวน Case (Trigger) ตามแนวทางที่กำหนด ,10,100,69,70-79,80-89,90-99,100
,2,1,4,PUTD-202003-020,อัตราการเกิดอุบัติเหตุของมีคมทิ่มตำหรือสารคัดหลั่งกระเด็นเข้าร่างกาย,10,0,4,3,2,1,0
,2,2,4,PUTD-202003-020,"อัตราเอกสารที่อยู่ในการควบคุมตามระบบคุณภาพได้รับการทบทวนตามรอบที่กำหนด ตามรอบ 2 ปี/วันบังคับใช้เป็นปี 2562 / 2563 (ยกเว้นประเภท SD-E, FM)",10,90,59,60-69,70-79,80-89,90
,2,1,4,PUTD-202003-020,จำนวนการบาดเจ็บจากการทำงานของเจ้าหน้าที่ในด้านความปลอดภัยในงาน (หยุดงานเกิน 3 วัน),10,0,4,3,2,1,0
,2,3,5,PUTD-202003-020,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,49,50-59,60-69,70-79,80
