ค่าว่าง,กำหนด 2,ชื่อ FC,สถานะ,
,2,อาการไม่พึงประสงค์จากการใช้ยา,Y,
,2,การจัดเก็บและควบคุมคุณภาพยา,Y,
,2,ทักษะในการให้บริการเภสัชกรรม,Y,
,2,การจัดยาและเวชภัณฑ์,Y,
,2,การตรวจสอบและวิเคราะห์ใบสั่งยา,Y,
,2,การบริหารคลังยาและเวชภัณฑ์,Y,
,2,ผู้ป่วยที่เข้าตรวจทางรังสี,Y,
,2,การถ่ายภาพทางรังสี,Y,
,2,การบำรุงรักษาเครื่องมือรังสี,Y,
,2,การป้องกันอันตรายจากรังสี,Y,
,2,การเตรียมความพร้อมในการบริการ,Y,
,2,การควบคุมคุณภาพภาพถ่ายทางรังสี,Y,
,2,วิชาชีพรังสีเทคนิค,Y,
,2,การบริหารยา,Y,
,2,การบริหารสารน้ำ,Y,
,2,การบริหารเลือด,Y,
,2,การควบคุมและป้องกันการติดเชื้อ,Y,
,2,กระบวนการพยาบาล,Y,
,2,การประเมินภาวะวิกฤติ,Y,
,2,การตรวจทางรังสี,Y,
,2,ความสงบระดับกลาง,Y,
,2,คุณภาพผลการตรวจวิเคราะห์,Y,
,2,ทักษะการเก็บสิ่งส่งตรวจ,Y,
,2,การตรวจวิเคราะห์สิ่งส่งตรวจ,Y,
,2,การรายงานผลการตรวจวิเคราะห์,Y,
,2,การบำรุงรักษาและใช้เครื่องมือ,Y,
,2,ทักษะการเตรียมสิ่งส่งตรวจ,Y,
,2,การจัดเก็บสิ่งส่งตรวจวันอื่น,Y,
,2,การบำรุงรักษาและใช้เครื่องมือ,Y,
,2,การตรวจรับ Request ผ่านระบบ,Y,
,2,ทักษะการเก็บสิ่งส่งตรวจ,Y,
,2,การใช้โปรแกรม Microsoft office,Y,
,2,การตรวจประเมินทางกายภาพบำบัด,Y,
,2,การบันทึกข้อมูลทางกายภาพบำบัด,Y,
,2,เครื่องมือทางกายภาพบำบัด,Y,
,2,ความรู้ด้านการทดสอบสมรรถภาพปอด,Y,
,2,การสร้างสัมพันธภาพ,Y,
,2,การตรวจประเมินทางกิจกรรมบำบัด,Y,
,2,การบันทึกข้อมูลทางกิจกรรมบำบัด,Y,
,2,อุปกรณ์ทางกิจกรรมบำบัด,Y,
,2,ความรู้ด้านการตรวจพัฒนาการเด็ก,Y,
,2,การให้บริการที่ดี,Y,
,2,ความพร้อมทางกายภาพบำบัด/กิจกรรมบำบัด,Y,
,2,การช่วยรักษาทางกายภาพบำบัด/กิจกรรมบำบัด,Y,
,2,การรักษาอุปกรณ์ทางกายภาพบำบัด/กิจกรรมบำบัด,Y,
,2,ความรู้ด้านโภชนาการและโภชนบำบัดเฉพาะโรค,Y,
,2,การให้บริการด้านโภชนศาสตร์คลินิก,Y,
,2,มาตรฐานสุขาภิบาลอาหาร,Y,
,2,การปรุงอาหารผู้ป่วย และอาหารบุคคลทั่วไป,Y,
,2,การบริการอาหารผู้ป่วย,Y,
,2,การจัดการลูกค้าสัมพันธ์,Y,
,2,ทักษะการใช้ Computer ระบบ HIS,Y,
,2,การเบิกค่ารักษาพยาบาล,Y,
,2,ความรู้ศัพท์แพทย์/โรคเบื้องต้น,Y,
,2,การจัดการลูกค้าสัมพันธ์,Y,
,2,ทักษะการใช้ Computer ระบบ HIS,Y,
,2,การให้รหัสโรครหัสหัตถการ,Y,
,2,ความรู้ศัพท์แพทย์เบื้องต้น,Y,
,2,พรบ.ข่าวสารทางราชการพ.ศ.2540,Y,
,2,มาตรฐานการบันทึกเวชระเบียน,Y,
,2,การจัดเรียงเวชระเบียน,Y,
,2,ความสมบูรณ์ของเวชระเบียน,Y,
,2,การค้น-เก็บเวชระเบียน,Y,
,2,การค้น-เก็บเวชระเบียน,Y,
,2,การเคลื่อนย้ายผู้ป่วย,Y,
,2,การใช้วิทยุสื่อสาร,Y,
,2,การฟื้นคืนชีพเบื้องต้น BLS,Y,
,2,การปฏิบัติเกี่ยวกับCODEฉุกเฉิน,Y,
,2,งาน รับ-ส่งยาขึ้น  WARD,Y,
,2,ศัพท์แพทย์เบื้องต้น,Y,
,2,เงื่อนไขกรมธรรม์/สิทธิเบิก,Y,
,2,การใช้ทรัพยากรสุขภาพ,Y,
,2,การตรวจสอบสิทธิการเบิก,Y,
,2,การเบิกรักษาพยาบาลกับหน่วยงาน,Y,
,2,พรบ.คุ้มครองผู้ประสบภัยจากรถ,Y,
,2,ความรู้ศัพท์แพทย์/โรคเบื้องต้น,Y,
,2,ทักษะการใช้ Computer ระบบ HIS,Y,
,2,ความรู้ระบบงานโอเปอเรเตอร์,Y,
,2,การใช้วิทยุสื่อสารและประสานงาน,Y,
,2,การควบคุมสัญญาณ Alarm,Y,
,2,การสื่อสารภาษาอังกฤษเบื้องต้น,Y,
,2,ความรู้เกี่ยวกับศัพท์แพทย์,Y,
,2,ทักษะการให้คำปรึกษาปัญหาสุขภาพ,Y,
,2,บริการทางการแพทย์ของโรงพยาบาล,Y,
,2,การควบคุมและป้องกันการติดเชื้อ,Y,
,2,การใช้หลักฐานเชิงประจักษ์,Y,
,2,กระบวนการพัฒนาคุณภาพ (CQI),Y,
,2,ทักษะในการให้ความรู้,Y,
,2,ความรู้และทักษะในระบบคุณภาพ,Y,
,2,โปรแกรมการพัฒนาคุณภาพ,Y,
,2,การจัดการสารเคมี /ขยะอันตราย,Y,
,2,การแก้ไขและป้องกันภาวะฉุกเฉิน,Y,
,2,การจัดทำฐานข้อมูล ทางสถิติ ถูกต้องตรงเวลา ,Y,
,2,ความรู้เรื่องระบบการบริหารความเสี่ยง,Y,
,2,ทักษะการสื่อสารและประสานงาน,Y,
,2,ทักษะการจัดทำเอกสารแต่ละระดับ,Y,
,2,ความรอบคอบในการจัดทำเอกสาร,Y,
,2,การเป็นผู้ตรวจติดตามคุณภาพ,Y,
,2,ทักษะการสื่อสารและประสานงาน,Y,
,2,การวางแผนสำรวจสถานการณ์ตลาด,Y,
,2,ความรู้เกี่ยวกับโรงพยาบาล สุขภาพและเครื่องมือแพทย์,Y,
,2,การใช้โปรแกรม  Microsoft Office,Y,
,2,การทำกิจกรรมส่งเสริมการขาย,Y,
,2,การประชาสัมพันธ์โรงพยาบาล,Y,
,2,การเขียนโครงการด้านการตลาด,Y,
,2,การให้คำปรึกษา,Y,
,2,การสร้างเสริมสุขภาพ,Y,
,2,การบริหารจัดการวัคซีน,Y,
,2,การบริการ,Y,
,2,การจัดโปรแกรมเพื่อสุขภาพ,Y,
,2,การทดสอบสมรรถภาพทางกาย,Y,
,2,การควบคุมสื่อประชาสัมพันธ์ทางการตลาด,Y,
,2,การใช้ข้อมูลสถิติในการวิเคราะห์วางแผนจัดทำสื่อประชาสัมพันธ์,Y,
,2,โปรแกรมออกแบบสื่อสิ่งพิมพ์,Y,
,2,การใช้โปรแกรมตัดต่อวีดีโอ,Y,
,2,การใช้กล้องถ่ายภาพ,Y,
,2,ทักษะในการขายโปรแกรมตรวจสุขภาพ,Y,
,2,ทักษะการสื่อสารและประสานงาน,Y,
,2,ความรู้ด้านการส่งเสริมสุขภาพ,Y,
,2,การควบคุมกระบวนการทำงาน,Y,
,2,การบริหารจัดการผ้า,Y,
,2,การให้บริการการรักษาความปลอดภัย,Y,
,2,การบริการความสะอาดประเภทต่างๆ,Y,
,2,การบริหารจัดการทรัพย์สิน,Y,
,2,อุปกรณ์ป้องกันอันตราย (PPE),Y,
,2,การเก็บ - ส่งผ้าซัก,Y,
,2,การจัดการผ้าเปื้อนของโรงพยาบาล,Y,
,2,การป้องกันการแพร่กระจายเชื้อ,Y,
,2,การคัดแยกขยะประเภทต่างๆ,Y,
,2,การจราจรและพื้นที่จอดรถของรพ.,Y,
,2,การใช้อุปกรณ์ดับเพลิงและสัญญาณแจ้งเหตุเพลิงไหม้,Y,
,2,การดูแลกล้องวงจรปิด,Y,
,2,การใช้อุปกรณ์ป้องกันอันตราย,Y,
,2,ทักษะการสื่อสารประสานงาน,Y,
,2,ความรู้เรื่องการตัดเย็บ,Y,
,2,การคำนวณผ้าที่ต้องตัดเย็บ,Y,
,2,การสร้างแบบงานที่ต้องตัดเย็บ,Y,
,2,ความรู้เรื่องการพับผ้า,Y,
,2,การประเมินและช่วยเหลือผู้ป่วย,Y,
,2,ความสามารถในการขับขี่ยานพาหนะ,Y,
,2,การตรวจเช็คความพร้อมในการใช้รถ,Y,
,2,ทักษะในการใช้วิทยุสื่อสาร,Y,
,2,เส้นทางในกรุงเทพและต่างจังหวัด,Y,
,2,การบำรุงรักษางานระบบไฟฟ้าและสื่อสาร,Y,
,2,การบำรุงรักษางานระบบปรับอากาศและระบายอากาศ,Y,
,2,การบำรุงรักษางานระบบสุขาภิบาลและป้องกันอัคคีภัย,Y,
,2,การบำรุงรักษางานโครงสร้าง สถาปัตยกรรม และงานตกแต่งภายใน,Y,
,2,การใช้อุปกรณ์ป้องกันอันตราย,Y,
,2,วัสดุ อุปกรณ์ทางการช่าง,Y,
,2,ทักษะการสื่อสาร ประสานงาน,Y,
,2,วัสดุ อุปกรณ์ ในงานซ่อมบำรุง,Y,
,2,ทักษะการใช้ Computer,Y,
,2,คลังวัสดุ อุปกรณ์ซ่อมบำรุง,Y,
,2,การจัดการข้อมูลเอกสาร,Y,
,2,วัสดุ อุปกรณ์ ควบคุมค่าใช้จ่าย จัดทำรายงานโครงการปรับปรุงพื้นที่,Y,
,2,ทักษะการวางแผน การบริหารจัดการโครงการปรับปรุงพื้นที่ เบื้องต้น,Y,
,2,ทักษะในการสื่อสาร ติดต่อประสานงาน หน่วยงานต่าง ๆ ทั้งภายนอกและภายใน,Y,
,2,การจัดการข้อมูลเอกสาร ต่าง ๆ เช่น สัญญาก่อสร้าง ส่งมอบ รับมอบงาน วาระการประชุม เป็นต้น,Y,
,2,มาตรฐานเครื่องมือแพทย์  (JCI. FMS.8),Y,
,2,เครื่องมือและอุปกรณ์การแพทย์,Y,
,2,ความปลอดภัยของไฟฟ้าทางการแพทย์,Y,
,2,ระบบแก๊สทางการแพทย์,Y,
,2,การสอบเทียบและการบำรุงรักษาเครื่องมือแพทย์,Y,
,2,บริหารคลังสินค้างานซ่อมบำรุง,Y,
,2,การจัดการข้อมูลเอกสาร,Y,
,2,ความรู้เรื่องสุขอนามัยส่วนบุคคลและมาตรฐานสุขาภิบาลอาหาร,Y,
,2,ความรู้เรื่องข้อมูลสารเคมีและ (MSDS)ที่มี ในห้องอาหาร,Y,
,2,ความรู้เกี่ยวกับอุปกรณ์ป้องกันอันตรายส่วนบุคคล (PPE),Y,
,2,ความรู้เรื่องการสั่งซื้อ ตรวจรับทำความสะอาด จัดเก็บ-จ่าย อาหารสดอาหารแห้ง,Y,
,2,ความรู้เรื่องการจัดทำบัญชีเบื้องต้นและความสามารถในการรับชำระเงิน,Y,
,2,ความรู้เรื่องการปรุงอาหารบุคคลทั่วไปและอาหาร ผู้ป่วย,Y,
,2,ความรู้เรื่องการล้าง จัดเก็บ ภาชนะอุปกรณ์ ตามมาตรฐานสุขาภิบาลอาหาร,Y,
,2,ความรู้เรื่องการจัดอาหาร การนำส่งและจ่ายอาหารบนหอผู้ป่วย,Y,
,2,การใช้โปรแกรมสั่งซื้อสินค้า,Y,
,2,การสรรหา - คัดเลือกผู้ขาย,Y,
,2,ทักษะการเจรจาต่อรอง,Y,
,2,การจัดซื้อ - จัดจ้าง,Y,
,2,การแก้ไขปัญหาในการทำงาน,Y,
,2,ระบบการบริหารจัดการคลังสินค้า,Y,
,2,รายละเอียดผลิตภัณฑ์สินค้า,Y,
,2,ขั้นตอน วิธีปฏิบัติงานพัสดุ,Y,
,2,การใช้โปรแกรม HIS,Y,
,2,การบริหารงานบุคคล,Y,
,2,ทักษะการใช้ HCM ,Y,
,2,ทักษะการใช้ Computer,Y,
,2,กฎหมายแรงงาน ระเบียบและสวัสดิการพนักงาน,Y,
,2,การจัดทำรายงาน การวิเคราะห์ข้อมูล การนำเสนอผลงาน,Y,
,2,กฎระเบียบ ข้อบังคับในการทำงาน,Y,
,2,การพัฒนาฝึกอบรม และระบบการบริหารผลงาน,Y,
,2,ความรู้และทักษะการสัมภาษณ์งาน,Y,
,2,ภาษีบุคคล   ประกันสังคม,Y,
,2,โปรแกรมในการจัดทำ Website,Y,
,2,การบริหารจัดการระบบสารสนเทศ,Y,
,2,การบริหารจัดการโปรแกรมระบบ,Y,
,2,ทักษะการสื่อสาร นำเสนอ สอนงาน,Y,
,2,ทักษะในการบริหารโครงการ,Y,
,2,การใช้งานโปรแกรมสำเร็จรูป,Y,
,2,การเขียนโปรแกรมจัดทำรายงาน,Y,
,2,ระบบ Electronic  Mail,Y,
,2,การควบคุมดูแลระบบเทคโนโลยีฯ,Y,
,2,ทักษะในการติดตั้งและบำรุงรักษา,Y,
,2,ความรู้ในการจัดการงานเอกสาร,Y,
,2,กาจัดทำทะเบียนทรัพย์สิน,Y,
,2,การตอบข้อซักถามค่ารักษาพยาบาล,Y,
,2,สิทธิเบิกของหน่วยงานคู่สัญญา,Y,
,2,อัตราค่าบริการของโรงพยาบาล,Y,
,2,ความละเอียด รอบคอบ,Y,
,2,การคิดค่ารักษาพยาบาล,Y,
,2,การบริหารจัดการความเสี่ยง,Y,
,2,การแก้ปัญหาและการตัดสินใจ,Y,
,2,การสื่อสารภายในและภายนอกองค์กร,Y,
,2,ทักษะการนิเทศงาน และ การสอนงาน,Y,
,2,ทักษะงานเลขานุการ,Y,
,2,ความรู้ความเข้าใจในงาน,Y,
,2,จัดการระบบงานเอกสาร,Y,
,2,การจัดลำดับความสำคัญของงาน,Y,
,2,ความถูกต้องแม่นยำ,Y,
,2,การบริหารเชิงกลยุทธ์,Y,
,2,ความรู้ด้านการวางแผนยุทธศาสตร์,Y,
,2,ความรู้และทักษะการวิเคราะห์ข้อมูลโรงพยาบาล,Y,
,2,ความรู้กระบวนการโรงพยาบาล(OM),Y,
,2,ความรู้ด้านสถิติโรงพยาบาล,Y,
,2,การสื่อสารและประสานงาน,Y,
,2,ประเมินผลโครงการ ,Y,
,2,การปิดงบบัญชี,Y,
,2,บัญชีภาษีอากร,Y,
,2,ทักษะการใช้ Computer,Y,
,2,ความละเอียดรอบคอบ,Y,
,2,การประสานงาน,Y,
,2,บัญชีเจ้าหนี้,Y,
,2,บัญชีทรัพย์สิน,Y,
,2,การจัดเอกสารและเงื่อนไขการตั้งเบิก,Y,
,2,บัญชีลูกหนี้,Y,
,2,ระบบบัญชี Inventory,Y,
,2,การคำนวณค่าตอบแทนแพทย์,Y,
,2,ทักษะการควบคุม บริหารจัดการระบบห้องประชุมและเสียงประกาศ แจ้งเตือน,Y,
,2,ทักษะการบำรุงรักษาและซ่อมบำรุงงานระบบเฉพาะทาง,Y,
