Id หลัก,Facter ID,ประเภทการคิด,กลุ่มหัวข้อ,โค้ดการประเมิน,ชื่อ KPI,น้ำหนัก,Target,คะแนน 1,คะแนน 2,คะแนน 3,คะแนน 4,คะแนน 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,4,PPSV-201908-001,Discharge Waiting Time  -  Insurance < 120 min.,4,80,49,50 - 59,60 - 69,70 - 79,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,3,4,PPSV-201908-001,%COPQ to Revenue,5,0.01,0.15,0.16 - 0.12,0.11 - 0.07,0.06 - 0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,1,PPSV-201908-002,Target Revenue ,25,157.2,127.7,127.8 - 136.8,136.8 - 145.8,145.9 - 153.9,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,1,PPSV-201908-002,%ROS,10,50,30,31 - 34,35 - 39,40 - 44,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,3,PPSV-201908-002,Target Counter Visit,10,56266,51999,52000 - 52999,53000 - 53999,54000 - 54999,55000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-002,Admission Rate,3,3,0.7,0.71 - 1.3,1.4 - 2.0,2.1 - 2.7,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-002,"Service Behavior Satisfaction
",4," 90
",75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-002,"Customer Satisfaction Index
",4," 90
",75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,3,PPSV-201908-002,Internal Satisfaction,4,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-002,"OPD Waiting Time <15 min 
",8,80,49,50 - 59,60 - 69,70 - 79,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-002,Medication Error – Transcribing Error  ,8,0.5,1.5,1.4 - 1.2,1.1 - 0.9,0.8 - 0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-002,อัตราการปฏิบัติได้ตามนโยบาย IPSG 1,7,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-002,อัตราการปฏิบัติได้ตามนโยบาย IPSG 6,7,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-002,Trainning Hour 80hr./person/year,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-002,Annual Employee Checkup Rate,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,1,PPSV-201908-003,Target Revenue ,25,60.5,52.9,53 - 54.8,54.9 - 56.7,56.8 - 58.6,58.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,1,PPSV-201908-003,%ROS,10,50,30,31 - 34,35 - 39,40 - 44,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,3,PPSV-201908-003,Target Counter Visit,10,27796,22999,23000 - 23999,24000 -24999,25000 -25999,26000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-003,Admission Rate,3,3,0.7,0.71 - 1.3,1.4 - 2.0,2.1 - 2.7,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-003,"Service Behavior Satisfaction
",4," 90
",75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-003,"Customer Satisfaction Index
",4," 90
",75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,3,PPSV-201908-003,Internal Satisfaction,4,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-003,"OPD Waiting Time <15 min 
",10,80,49,50 - 59,60 - 69,70 - 79,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-003,Medication Error – Transcribing Error  ,10,0.5,1.5,1.4 - 1.2,1.1 - 0.9,0.8 - 0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-003,อัตราการปฏิบัติได้ตามนโยบาย IPSG 6,10,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-003,Trainning Hour 80hr./person/year,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-003,Annual Employee Checkup Rate,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,1,PPSV-201908-004,Target Revenue ,25,68.9,62.8,62.9 - 64.3,64.4 - 65.8,65.9 - 67.2,67.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,1,PPSV-201908-004,%ROS,10,50,30,31 - 34,35 - 39,40 - 44,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,3,PPSV-201908-004,Target Counter Visit,10,40410,35999,36000 - 36999,37000 - 37999,38000 - 38999,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-004,Admission Rate,3,2,0.49,0.5 - 0.9,1.0 - 1.4,1.5 - 1.9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-004,"Customer Satisfaction Index
",4,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-004,"Service Behavior Satisfaction
",4,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,3,PPSV-201908-004,Internal Satisfaction,4,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-004,%OPD Waiting Time Improvement- Regis - Consult Start,10,10,2.49,2.5 - 4.0,4.1 - 6.5,6.6 - 9.0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,4,PPSV-201908-004,%COPQ to revenue,10,0.1,1.61,1.6 - 1.2,1.1 - 0.7,0.6 - 0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-004,Medication Error – Admin Error ,10,0.5,1.5,1.4 - 1.2,1.1 - 0.9,0.8 - 0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-004,Trainning Hour 80hr./person/year,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-004,Annual Employee Checkup Rate,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,1,PPSV-201908-005,Target Revenue ,35,18.7,11.1,11.2 - 13.2,13.3 - 15.3,15.4 - 17.4,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,3,PPSV-201908-005,Target Counter Visit,13,7028,4999,5000 - 5499,5500 - 5999,6000 - 6499,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-005,"Service Behavior Satisfaction
",4,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-005,"Customer Satisfaction Index
",4,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,3,PPSV-201908-005,Internal Satisfaction,4,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-005,%OPD Waiting Time Improvement- Regis - Consult Start,10,10,2.49,2.5 - 4.0,4.1 - 6.5,6.6 - 9.0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,4,PPSV-201908-005,%COPQ to revenue,10,0.1,1.61,1.6 - 1.2,1.1 - 0.7,0.6 - 0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-005,อุบัติการณ์ทำหัตถการผิดข้างผิดตำแหน่ง,10,0.1,1.61,1.6 - 1.2,1.1 - 0.7,0.6 - 0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-005,Trainning Hour 80hr./person/year,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-005,Annual Employee Checkup Rate,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,1,PPSV-201908-006,Target Revenue ,25,29.2,28.1,28.2 - 28.4,28.5 - 28.7,28.8 - 29.0,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,1,PPSV-201908-006,%ROS,10,50,30,31 - 34,35 - 39,40 - 44,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,3,PPSV-201908-006,Target Counter Visit,10,12911,10499,10500 - 10999,11000 - 11499,11500 - 11999,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-006,Admission Rate,3,2,0.49,0.5 - 0.9,1.0 - 1.4,1.5 - 1.9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-006,"Customer Satisfaction Index
",4,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-006,"Service Behavior Satisfaction
",4,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,3,PPSV-201908-006,Internal Satisfaction,4,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-006,OPD Waiting Time < 30 min (walk-in),10,80,49,50 - 59,60 - 69,70 - 79,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-006,IPSG1,10,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-006,อัตราการปฏิบัติการตามแนวทางครรภ์คุณภาพ,10,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-006,Trainning Hour 80hr./person/year,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-006,Annual Employee Checkup Rate,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,1,PPSV-201908-007,Target Revenue ,25,36.4,29.1,29.2 - 31.2,31.3 - 33.3,33.4 - 35.4,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,1,PPSV-201908-007,%ROS,10,50,30,31 - 34,35 - 39,40 - 44,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,3,PPSV-201908-007,Target Counter Visit,13,18647,16499,16500 - 16999,17000 - 17499,17500 - 17999,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-007,"Service Behavior Satisfaction
",4,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-007,"Customer Satisfaction Index
",4,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,3,PPSV-201908-007,Internal Satisfaction,4,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,4,PPSV-201908-007,จำนวนครั้งที่ส่งน้ำ RO ตรวจ Endotoxin และเกิดการติดเชื้อ,8,0,4,3,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-007,อัตราการติดเชื้อของ Vascular Access ทั้งชนิดชั่วคราวและชนิดถาวร,7,5,12,11 - 10,9 - 8,7 - 6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,4,PPSV-201908-007,จำนวนครั้งของการเกิดพลัดตกหกล้ม IPSG6 (โดยเจ้าหน้าที่ไม่ได้ปฏิบัติตามแนวทางที่กำหนด ),8,0,4,3,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-007,อัตราการช่วยฟื้นคืนชีพ (CPR),7,5,12,11 - 10,9 - 8,7 - 6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-007,Trainning Hour 80hr./person/year,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-007,Annual Employee Checkup Rate,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,1,PPSV-201908-008,Target Revenue ,25,88.6,79,80 - 82.5,82.6 - 85.2,85.3 - 87.8,87.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,1,PPSV-201908-008,%ROS,10,60,41,42 - 46,47 - 51,52 - 56,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,3,PPSV-201908-008,Target Counter Visit,13,35226,31499,31500 - 32499,32500 - 33499,33500 - 34499,34500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-008,"Service Behavior Satisfaction
",4,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-008,"Customer Satisfaction Index
",4,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,3,PPSV-201908-008,Internal Satisfaction,4,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-008,Medication Error – Admin Error ,10,0.5,1.5,1.4 - 1.2,1.1 - 0.9,0.8 - 0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-008,Waiting time Case Level Resuscitate ได้พบแพทย์ภายใน1นาที,10,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-008,IPSG1 การIdentifyผู้ป่วยผิดคน,10,0,4,3,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-008,Trainning Hour 80hr./person/year,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-008,Annual Employee Checkup Rate,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,1,PPSV-201908-009,Target Revenue ,25,34,26.9,27.0 - 27.9,28.0 - 29.9,30.0 - 31.9,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,1,PPSV-201908-009,%ROS,10,60,41,42 - 46,47 - 51,52 - 56,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,3,PPSV-201908-009,Target Counter Visit,13,5036,4665,4666 - 4757,4758 - 4848,4849 - 4940,4941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-009,"Service Behavior Satisfaction
",4,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-009,"Customer Satisfaction Index
",4,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,3,PPSV-201908-009,Internal Satisfaction,4,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-009,%OPD Waiting Time Improvement < 15 mins,10,80,49,50 - 59,60 - 69,70 - 79,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-009,%Do Primary PCI on case STEMI in 90 mins,10,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-009,Medication Error – Transcribing Error  ,10,0.5,1.5,1.4 - 1.2,1.1 - 0.9,0.8 - 0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-009,Trainning Hour 80hr./person/year,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-009,Annual Employee Checkup Rate,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,1,PPSV-201908-010,Target Revenue ,25,48.4,40.6,40.7 - 42.7,42.8 - 44.8,44.9 46.9,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,1,PPSV-201908-010,%ROS,10,60,41,42 - 46,47 - 51,52 - 56,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,3,PPSV-201908-010,Target Counter Visit,10,7383,5499,5500 - 5999,6000 - 6499,6500 - 6999,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-010,Admission Rate,3,3,0.7,0.71 - 1.3,1.4 - 2.0,2.1 - 2.7,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-010,"Service Behavior Satisfaction
",4," 90
",75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-010,"Customer Satisfaction Index
",4," 90
",75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,3,PPSV-201908-010,Internal Satisfaction,4,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-010,"OPD Waiting Time <15 min 
",8,80,49,50 - 59,60 - 69,70 - 79,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-010,Medication Error – Transcribing Error  ,8,0.5,1.5,1.4 - 1.2,1.1 - 0.9,0.8 - 0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-010,อัตราการปฏิบัติได้ตามนโยบาย IPSG 4,7,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,4,PPSV-201908-010,จำนวนครั้งของการเกิด IR ส่ง Specimen ผิดพลาด,7,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-010,Trainning Hour 80hr./person/year,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-010,Annual Employee Checkup Rate,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,1,PPSV-201908-011,Target Revenue ,25,99.6,85.1,85.2 - 89.2,89.3 - 93.3,93.4 - 97.4,97.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,1,PPSV-201908-011,%ROS,10,55,34,35 - 39,40 - 44,45 - 49,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,3,PPSV-201908-011,Target Patient days,13,3790,3442,3443 - 3478,3479 -3515,3516 - 3552,3553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-011,"Service Behavior Satisfaction
",4,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-011,"Customer Satisfaction Index
",4,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,3,PPSV-201908-011,Internal Satisfaction,4,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-011,Medication Error – Admin Error ,5,0.5,1.5,1.4 - 1.2,1.1 - 0.9,0.8 - 0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-011,Medication Error – Transcribing Error ,5,0.5,1.5,1.4 - 1.2,1.1 - 0.9,0.8 - 0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,4,PPSV-201908-011,จำนวนครั้งที่เกิดการย้ายออกจาก ICU  ไม่เหมาะสม  (ภายใน 8 ชม),5,0,4,3,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,4,PPSV-201908-011,Un expected death,5,0,4,3,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-011,Discharge Waiting Time - Self-pay  < 60 min. ,5,80,49,50 - 59,60 - 69,70 - 79,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-011,Discharge Waiting Time - Insurance  < 120 min. ,5,80,49,50 - 59,60 - 69,70 - 79,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-011,Trainning Hour 80hr./person/year,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,5,PPSV-201908-011,Annual Employee Checkup Rate,5,100,69,70 - 79,80 - 89,90 - 99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,1,PPSV-201908-012,Target Revenue ,25,28.4,20.6,20.7 - 22.7,22.8 - 24.8,24.9 - 26.9,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,3,PPSV-201908-012,Target Patient days,13,3860,1999,2000 - 2499,2500 - 2999,3000 - 3499,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,1,PPSV-201908-012,%ROS,10,55,34,35 - 39,40 - 44,45 - 49,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-012,"Service Behavior Satisfaction
",4," 90
",75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,3,PPSV-201908-012,"Customer Satisfaction Index
",4," 90
",75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,3,3,PPSV-201908-012,Internal Satisfaction,4,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-012,Medication Error – Transcribing Error  ,3,25,32,31 - 30,29 - 28,27 - 26,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-012,Medication Error – Admin Error ,3,25,32,31 - 30,29 - 28,27 - 26,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,4,PPSV-201908-012,จำนวนครั้งของการติด Label Lab ผิดคน,6,0,4,3,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-012,อัตราการได้รับนมแม่ขณะอยู่ในโรงพยาบาล,6,90,75,76 - 80,81 - 85,86 - 90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,4,PPSV-201908-012,จำนวนครั้งการเกิดเหตุการณ์ Unplan ICU  ,6,0,4,3,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,4,PPSV-201908-012,Discharge Waiting Time - Self-pay  < 60 min. ,3,80,49,50 - 59,60 - 69,70 - 79,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
