Id หลัก,Facter ID,ประเภทการคิด,กลุ่มหัวข้อ,โค้ดการประเมิน,ชื่อ KPI,น้ำหนัก,Target,คะแนน 1,คะแนน 2,คะแนน 3,คะแนน 4,คะแนน 5
,2,1,4,PPCH-202003-009,Repeat Drugs Allergy ( Time ),5,0,4,3,2,1,0
,2,1,4,PPCH-202003-009,Dispensing  Error : Identification ผิดคน ( IPSG-1 ),5,0,4,3,2,1,0
,2,1,4,PPCH-202003-009,Dispensing  Error: ยาความเสี่ยงสูง ( HAD; IPSG-3 ),5,0,4,3,2,1,0
,2,2,4,PPCH-202003-009,อัตราการทบทวน Incident Report ของหน่วยงาน ,5,100,69,70-79,80-89,90-99,100
,2,3,5,PPCH-202003-009,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,64,65-69,70-74,75-79,80
,2,3,1,PPCH-202003-010,% revenue to total revenue,20,10,8.4,8.5-8.9,9.0-9.4,9.5-9.9,10
,2,3,1,PPCH-202003-010,%Margin,10,65,49,50-59,55-59,60-64,65
,2,1,3,PPCH-202003-010,จำนวนข้อร้องเรียนด้านพฤติกรรมบริการจากผู้รับบริการ,20,5,6.4,6.3-5.8,6.2-5.7,5.6-5.1,5
,2,2,4,PPCH-202003-010,การรายงานผล Cardiac Marker ภายใน 20 นาที,6,100,69,70-79,80-89,90-99,100
,2,1,4,PPCH-202003-010,จำนวนความผิดพลาดของการรายงานผลการตรวจ,6,0,4,3,2,1,0
,2,2,4,PPCH-202003-010,การรายงานผล Stroke ภายใน 30 นาที,6,100,69,70-79,80-89,90-99,100
,2,2,4,PPCH-202003-010,อัตราการรายงานผล STEMI ภายใน 30 นาที,6,100,69,70-79,80-89,90-99,100
,2,1,4,PPCH-202003-010,จำนวนการรายงานผลผิดคน,6,0,4,3,2,1,0
,2,2,4,PPCH-202003-010,การรายงานผลค่าวิกฤตตามระยะเวลาที่กำหนด,5,100,69,70-79,80-89,90-99,100
,2,2,4,PPCH-202003-010,อัตราการทบทวน Incident Report ของหน่วยงาน,5,100,69,70-79,80-89,90-99,100
,2,3,5,PPCH-202003-010,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,64,65-69,70-74,75-79,80
,2,3,1,PPCH-202003-011,% Revenue to total revenue,20,7,5.4,5.5-5.9,6-6.4,6.5-6.9,7
,2,3,1,PPCH-202003-011,%Margin,10,95,79,80-84,85-89,90-94,95
,2,1,3,PPCH-202003-011,จำนวนข้อร้องเรียนด้านพฤติกรรมบริการจากผู้รับบริการ,20,5,6.4,6.3-5.8,6.2-5.7,5.6-5.1,5
,2,2,4,PPCH-202003-011,General X-Ray Waiting time ≤ 5 mins,5,100,69,70-79,80-89,90-99,100
,2,2,4,PPCH-202003-011,อัตราผู้รับบริการหญิงวัยเจริญพันธุ์ได้รับการคัดกรองก่อนได้รับการตรวจทางรังสี,5,100,4,3,2,1,0
,2,1,4,PPCH-202003-011,อุบัติการณ์การเอกซเรย์ซ้ำ,5,2,3.4,3.5-3.1,3-2.6,2.5-2.1,2
,2,2,4,PPCH-202003-011,อัตราการแพ้สารทึบรังสี โดยไม่ได้รับการซักประวัติ,5,100,54,85-89,90-94,95-99,100
,2,2,4,PPCH-202003-011,การรายงานผลวิกฤติตามกำหนดระยะเวลา,5,100,54,85-89,90-94,95-99,100
,2,2,4,PPCH-202003-011,การระบุตัวผู้ป่วยถูกต้อง (IPSG1),5,100,54,85-89,90-94,95-99,100
,2,2,4,PPCH-202003-011,อัตราการติดตาม Case,5,100,54,85-89,90-94,95-99,100
,2,2,4,PPCH-202003-011,อัตราการทบทวน Incident Report ของหน่วยงาน,5,100,69,70-79,80-89,90-99,100
,2,3,5,PPCH-202003-011,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,64,65-69,70-74,75-79,80
,2,3,1,PPCH-202003-012,Revenue Growth,20,24.6,11.9,12-15.9,16-19.9,20-23.9,24
,2,3,1,PPCH-202003-012,%ROS,10,55,39,40-44,45-49,50-54,55
,2,3,3,PPCH-202003-012,Job Growth,15,103.1,9.9,10-39.9,40-69.9,70-99.9,100
,2,1,3,PPCH-202003-012,จำนวนข้อร้องเรียนด้านพฤติกรรมบริการจากผู้รับบริการ,15,2,6,5,4,3,2
,2,1,4,PPCH-202003-012,จำนวนการเกิดอุบัติการณ์ การผลัดตกหกล้มขณะรับการรักษาฟื้นฟูสมรรถภาพ,2.5,0,4,3,2,1,0
,2,2,4,PPCH-202003-012,อัตราการ Rourn New Of Number Admit,5,100,84,85-89,90-94,95-99,100
,2,1,4,PPCH-202003-012,จำนวนการเกิดอุบัติการณ์ การ burn ขณะรับการรักษาฟื้นฟูสมรรถภาพ,2.5,0,4,3,2,1,0
,2,2,4,PPCH-202003-012,อัตราการระบุตัวผู้ป่วยถูกต้อง,5,100,84,85-89,90-94,95-99,100
,2,2,4,PPCH-202003-012,อัตราการทำหัตถการผู้ป่วยถูกคน ถูกข้าง ถูกตำแหน่ง ถูกหัตถการ,5,100,84,85-89,90-94,95-99,100
,2,2,4,PPCH-202003-012,Follow up rate,5,70,39,40-49,50-59,60-69,70
,2,2,4,PPCH-202003-012,อัตราการทบทวน Incident Report ของหน่วยงาน,5,100,69,70-79,80-89,90-99,100
,2,3,5,PPCH-202003-012,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,64,65-69,70-74,75-79,80
,2,2,3,PPCH-202003-013,Customer Satisfaction Index,25,95,79,80-84,85-89,90-94,95
,2,1,3,PPCH-202003-013,จำนวนข้อร้องเรียนด้านพฤติกรรมบริการจากผู้รับบริการ,20,3,7,6,5,4,3
,2,1,4,PPCH-202003-013,จำนวนครั้งในการลงทะเบียนผู้ป่วยผิด ,8,3,7,6,5,4,3
,2,1,4,PPCH-202003-013,Incident Report - จำนวนครั้งการจัดเตรียมเอกสารเบิกค่ารักษาพยาบาลผิดพลาด / ไม่ครบถ้วน ,8,0,4,3,2,1,0
,2,2,4,PPCH-202003-013,อัตราการทบทวน Incident Report ของหน่วยงาน,5,100,69,70-79,80-89,90-99,100
,2,1,4,PPCH-202003-013,จำนวนครั้งในการลงทะเบียนรับ Admit ผู้ป่วยผิดคน,8,0,2,,1,,0
,2,2,4,PPCH-202003-013,เจ้าหน้าที่ให้ข้อมูลเรื่องสิทธิการรักษาพยาบาล ครบถ้วน ถูกต้อง,8,90,59,60-69,70-79,80-89,90
,2,1,4,PPCH-202003-013,จำนวนครั้งในการตรวจสอบสิทธิในระบบผิด,8,0,2,,1,,0
,2,3,5,PPCH-202003-013,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,64,65-69,70-74,75-79,80
,2,2,3,PPCH-202003-014,Customer Satisfaction Index,25,95,79,80-84,85-89,90-94,95
,2,1,3,PPCH-202003-014,จำนวนข้อร้องเรียนด้านพฤติกรรมบริการจากผู้รับบริการ,20,3,7,6,5,4,3
,2,1,4,PPCH-202003-014,จำนวนครั้งในการเกิดอุบัติเหตุจากการเคลื่อนย้าย,20,0,3,3,2,1,0
,2,2,4,PPCH-202003-014,อัตราการทบทวน Incident Report ของหน่วยงาน,5,100,69,70-79,80-89,90-99,100
,2,1,4,PPCH-202003-014,จำนวนข้อร้องเรียน IR เรื่องการให้บริการเคลื่อนย้ายล่าช้ากรณีประกาศ code ฉุกเฉิน,5,0,4,3,2,1,0
,2,1,4,PPCH-202003-014,จำนวนครั้งในการส่งผู้ป่วยผิดแผนก,5,0,4,3,2,1,0
,2,1,4,PPCH-202003-014,จำนวนครั้งในการนำส่งผู้ป่วยทำหัตถการไม่ครบถ้วน,5,0,4,3,2,1,0
,2,2,4,PPCH-202003-014,การคัดกรองเบื้องต้นในผู้ป่วยฉุกเฉินนำส่ง ER ทันที,5,100,69,70-79,80-89,90-99,100
,2,3,5,PPCH-202003-014,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,64,65-69,70-74,75-79,80
,2,3,1,PPCH-202003-015,%COPQ to Revenue,20,0.01,0.17,0.16-0.12,0.11-0.07,0.06-0.02,0.01
,2,2,3,PPCH-202003-015,Customer Satisfaction Index,10,95,79,80-84,85-89,90-94,95
,2,1,3,PPCH-202003-015,ข้อร้องเรียนเกี่ยวกับพฤติกรรมบริการ,10,3,7,6,5,4,3
,2,2,4,PPCH-202003-015,ทบทวนและเก็บรวบรวม Service Profile ทุกหน่วยงาน ปีละ1 ครั้ง,10,100,69,70-79,80-89,90-99,100
,2,2,4,PPCH-202003-015,เก็บรวมรวมReportระบบงานสำคัญ 1ครั้ง/เดือน,10,100,69,70-79,80-89,90-99,100
,2,2,4,PPCH-202003-015,อัตราการทบทวนอุบัติการณ์ระดับ 3 ขึ้นไปภายใน 3 วัน,10,100,69,70-79,80-89,90-99,100
,2,2,4,PPCH-202003-015,"อัตราเอกสารที่อยู่ในการควบคุมตามระบบคุณภาพได้รับการทบทวนตามรอบที่กำหนด ตามรอบ 3 ปี/วันบังคับใช้เป็นปี 2560/ 2561/ 2562 (ยกเว้นประเภท SD-E, FM)",10,90,59,60-69,70-79,80-89,90
,2,1,4,PPCH-202003-015,อัตราการเกิดอุบัติเหตุของมีคมทิ่มตำหรือสารคัดหลั่งกระเด็นเข้าร่างกาย,10,0,4,3,2,1,0
,2,3,5,PPCH-202003-015,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,64,65-69,70-74,75-79,80
,2,1,398,PPCH-202003-015,IR Patient identification ( IPSG1),0,0,,,,,
,2,1,398,PPCH-202003-015,IR Effective communication ( IPSG2),0,0,,,,,
,2,2,398,PPCH-202003-015,Medication error (IPSG3),0,0.5,,,,,
,2,2,398,PPCH-202003-015,"IR correct site,Procedure,Patient surgery (IPSG4)",0,0,,,,,
,2,2,398,PPCH-202003-015,Compliance Hand wash 7 step (IPSG5),0,80,,,,,
,2,2,398,PPCH-202003-015,Compliance Hand wash 5 moment (IPSG5),0,80,,,,,
,2,2,398,PPCH-202003-015,IR Fall & slip (IPSG6),0,0,,,,,
,2,3,1,PPCH-202003-016,%Net Revenue Growth - รายได้กลุ่มผู้ใช้สิทธิ์ประกันนักเรียน,10,25,15,15.1-17.6,17.7-20.2,20.3-22.8,22.9
,2,3,1,PPCH-202003-016,%Net Revenue Growth - รายได้กลุ่มคลินิก/รพ.สัญญา,10,25,15,15.1-17.6,17.7-20.2,20.3-22.8,22.9
,2,3,1,PPCH-202003-016,%Net Revenue Growth - รายได้กลุ่มบริษัทตรวจสุขภาพ,10,25,15,15.1-17.6,17.7-20.2,20.3-22.8,22.9
,2,3,1,PPCH-202003-016,%Cost  to Revenue (3.5 MB),5,1.5,2.74,2.73-2.33,2.32-1.92,1.91-1.51,1.5
,2,3,3,PPCH-202003-016,%Nwe HN,15,19,15.9,16-16.9,17-17.9,18-18.9,19
,2,2,3,PPCH-202003-016,อ้ตราการเพิ่มขึ้นของจำนวนผู้มารับบริการ Product ใหม่,10,15,11.4,11.5-12.4,12.5-13.4,13.5-14.4,14.5
,2,1,4,PPCH-202003-016,จำนวนสื่อประชาสัมพันธ์ผิดพลาด ,10,5,9,8,7,6,5
,2,2,4,PPCH-202003-016,%การจัดกิจกรรมตามแผน,10,80,64,65-69,70-74,75-79,80
,2,2,4,PPCH-202003-016,โครงการการตลาด ที่ผ่านตามเป้าหมาย,10,90,59,60-69,70-79,80-89,90
,2,3,5,PPCH-202003-016,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,64,65-69,70-74,75-79,80
,2,3,1,PPCH-202003-017,%COPQ ค่าปรับ,20,0.01,0.05,0.04,0.03,0.02,0.01
,2,2,3,PPCH-202003-017,Customer Satisfaction Index,20,95,79,80-84,85-89,90-94,95
,2,1,3,PPCH-202003-017,จำนวนข้อร้องเรียนด้านพฤติกรรมบริการจากผู้รับบริการ,15,3,7,6,5,4,3
,2,1,4,PPCH-202003-017,จำนวนครั้งที่ไม่สามารถออกรถได้ตามใบคำขอใช้บริการ,10,5,9,8,7,6,5
,2,2,4,PPCH-202003-017,การตรวจสอบความพร้อมก่อนใช้งานยานพาหนะ,10,100,84,85-89,90-94,95-99,100
,2,2,4,PPCH-202003-017,การบำรุงรักษาตามแผนที่กำหนด,5,100,84,85-89,90-94,95-99,100
,2,1,4,PPCH-202003-017,จำนวนข้อร้องเรียน IR เรื่องการให้บริการล่าช้ากรณีประกาศ code ฉุกเฉิน,5,0,4,3,2,1,0
,2,2,4,PPCH-202003-017,อัตราการทบทวน Incident Report ของหน่วยงาน,5,100,69,70-79,80-89,90-99,100
,2,3,5,PPCH-202003-017,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,64,65-69,70-74,75-79,80
,2,1,1,PPCH-202003-018,"ค่าใช้จ่ายที่เกิดจากข้อผิดพลาดการประสานงาน ของสำนักเลขา 
หมายเหตุ : ข้อผิดพลาด จนทำให้ต้องจ่ายค่าชดเชย ในกระบวนการนั้น เช่น จองโรงแรมผิด จองตั๋วผิด เป็นต้น ",20,0,4,3,2,1,0
,2,2,4,PPCH-202003-018,การบันทึกและจัดทำรายงานการประชุม ภายในระยะเวลาที่กำหนด,10,80,49,50-59,60-69,70-79,80
,2,2,4,PPCH-202003-018,การจัดส่งวาระประชุมและ สรุปประชุม ก่อนการประชุม ให้กับผู้ที่เกี่ยวข้อง,15,80,49,50-59,60-69,70-79,80
,2,2,4,PPCH-202003-018,ตารางออกตรวจของแพทย์ผิด หรือไม่ Update,15,80,49,50-59,60-69,70-79,80
,2,2,4,PPCH-202003-018,ทะเบียนสัญญา และ รายการต่ออายุของโรงพยาบาล รวมถึงการแจ้งเตือนภายในระยะเวลาที่กำหนด,10,90,74,75-79,80-84,85-89,90
,2,2,4,PPCH-202003-018,สื่อสารประชาสัมพันธ์ แพทย์ใหม่,5,90,59,60-69,70-79,80-89,90
,2,2,4,PPCH-202003-018,อัตราการทบทวน Incident Report ของหน่วยงาน,5,100,69,70-79,80-89,90-99,100
,2,1,4,PPCH-202003-018,อัตราการเกิด IR ระดับ 3,10,0,4,3,2,1,0
,2,3,5,PPCH-202003-018,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,64,65-69,70-74,75-79,80
,2,3,1,PPCH-202003-019,%ROS,30,11,9.4,9.5-9.9,10-10.4,10.5-10.9,11
,2,2,3,PPCH-202003-019,Customer Satisfaction Index (แบบประเมิน IPD),15,90,74,75-79,80-84,85-89,90
,2,1,3,PPCH-202003-019,จำนวนข้อร้องเรียนด้านพฤติกรรมบริการจากผู้รับบริการ,10,4,8,7,6,5,4
,2,1,4,PPCH-202003-019,จำนวนการตรวจพบสิ่งแปลกปลอมในอาหาร,10,6,10,9,8,7,6
,2,1,4,PPCH-202003-019,แผนกห้องอาหารผ่านการรับรองมาตรฐาน Clean Food Good Teast,5,5,1,2,3,4,5
,2,1,4,PPCH-202003-019,แผนกห้องอาหารผ่านการรับรองมาตรฐานอาหารปลอดภัย,5,5,1,2,3,4,5
,2,1,4,PPCH-202003-019,จำนวนส่งอาหารผู้ป่วยผิดห้อง ผิดOrder,10,4,8,7,6,5,4
,2,2,4,PPCH-202003-019,อัตราการทบทวน Incident Report ของหน่วยงาน,5,100,69,70-79,80-89,90-99,100
